Location,UVIndexScore
A1,5.227272727272727
A2,1.9318181818181814
A3,3.6931818181818183
A4,5.909090909090909
A5,4.261363636363637
A6,5.738636363636365
A7,5.681818181818182
A8,0.5681818181818188
A9,3.8636363636363646
A10,4.545454545454545
A11,5.909090909090909
A12,3.579545454545455
A13,3.1818181818181825
A14,2.215909090909091
A15,6.363636363636363
A16,2.329545454545454
A17,3.9772727272727275
A18,3.1818181818181825
A19,5.284090909090908
A20,6.818181818181818
A21,5.170454545454546
A22,3.8636363636363646
A23,4.1477272727272725
A24,6.022727272727273
A25,3.75
A26,2.727272727272727
A27,4.715909090909091
A28,5.511363636363637
A29,4.090909090909091
A30,5.227272727272727
A31,4.034090909090909
A32,2.6136363636363633
A33,1.8181818181818183
A34,3.0113636363636367
A35,3.806818181818181
A36,4.090909090909091
A37,3.579545454545455
A38,3.0681818181818175
A39,5.0568181818181825
A40,7.159090909090908
A41,3.0113636363636367
A42,3.1250000000000004
A43,3.920454545454546
A44,3.75
A45,5.511363636363637
A46,4.772727272727273
A47,5.0568181818181825
A48,4.318181818181818
A49,3.920454545454546
A50,4.318181818181818
B1,3.0681818181818175
B2,5.170454545454546
B3,3.5227272727272734
B4,3.1818181818181825
B5,4.715909090909091
B6,4.261363636363637
B7,4.204545454545454
B8,5.965909090909091
B9,5.738636363636365
B10,4.602272727272728
B11,3.1818181818181825
B12,2.897727272727273
B13,6.3068181818181825
B14,6.136363636363637
B15,3.465909090909091
B16,4.488636363636363
B17,5.454545454545455
B18,4.829545454545455
B19,0.17045454545454553
B20,6.704545454545455
B21,5.170454545454546
B22,3.4090909090909087
B23,5.795454545454546
B24,4.261363636363637
B25,4.034090909090909
B26,1.7613636363636367
B27,3.9772727272727275
B28,5.000000000000001
B29,3.75
B30,8.181818181818183
B31,4.431818181818182
B32,6.420454545454545
B33,6.420454545454545
B34,5.397727272727273
B35,3.9772727272727275
B36,1.9318181818181814
B37,4.375
B38,3.6931818181818183
B39,3.4090909090909087
B40,4.375
B41,4.034090909090909
B42,2.78409090909091
B43,1.3636363636363642
B44,3.920454545454546
B45,4.9431818181818175
B46,5.397727272727273
B47,2.8409090909090913
B48,3.465909090909091
B49,5.965909090909091
B50,4.090909090909091
C1,0.22727272727272713
C2,4.602272727272728
C3,4.090909090909091
C4,5.5681818181818175
C5,7.840909090909091
C6,7.386363636363638
C7,4.715909090909091
C8,4.545454545454545
C9,5.227272727272727
C10,7.329545454545453
C11,4.318181818181818
C12,4.715909090909091
C13,1.5909090909090906
C14,6.193181818181818
C15,4.886363636363636
C16,4.886363636363636
C17,4.829545454545455
C18,2.897727272727273
C19,6.988636363636363
C20,2.6704545454545454
C21,4.829545454545455
C22,3.6363636363636367
C23,1.4772727272727273
C24,4.829545454545455
C25,3.1250000000000004
C26,5.284090909090908
C27,6.534090909090908
C28,2.5000000000000004
C29,3.920454545454546
C30,2.5000000000000004
C31,2.329545454545454
C32,3.1250000000000004
C33,7.5568181818181825
C34,4.715909090909091
C35,6.534090909090908
C36,2.443181818181819
C37,5.397727272727273
C38,4.318181818181818
C39,2.6136363636363633
C40,6.3068181818181825
C41,7.670454545454546
C42,5.681818181818182
C43,4.090909090909091
C44,4.545454545454545
C45,1.4204545454545456
C46,6.875000000000001
C47,4.261363636363637
C48,4.034090909090909
C49,3.352272727272727
C50,5.284090909090908
D1,1.704545454545455
D2,3.0681818181818175
D3,1.875
D4,4.772727272727273
D5,3.238636363636364
D6,7.329545454545453
D7,7.045454545454546
D8,2.159090909090909
D9,3.6363636363636367
D10,4.488636363636363
D11,4.659090909090909
D12,5.681818181818182
D13,3.6363636363636367
D14,3.4090909090909087
D15,3.465909090909091
D16,1.6477272727272734
D17,4.829545454545455
D18,2.5568181818181817
D19,0.5113636363636358
D20,7.329545454545453
D21,5.454545454545455
D22,4.034090909090909
D23,0.5113636363636358
D24,2.159090909090909
D25,3.238636363636364
D26,5.909090909090909
D27,2.2727272727272725
D28,6.136363636363637
D29,3.0681818181818175
D30,5.454545454545455
D31,7.329545454545453
D32,6.193181818181818
D33,5.170454545454546
D34,4.488636363636363
D35,3.920454545454546
D36,2.6136363636363633
D37,4.545454545454545
D38,6.704545454545455
D39,2.159090909090909
D40,4.204545454545454
D41,5.454545454545455
D42,9.715909090909092
D43,6.136363636363637
D44,4.375
D45,3.806818181818181
D46,3.352272727272727
D47,5.454545454545455
D48,3.1818181818181825
D49,5.113636363636363
D50,3.1818181818181825
E1,5.0568181818181825
E2,5.738636363636365
E3,3.352272727272727
E4,2.443181818181819
E5,4.715909090909091
E6,4.659090909090909
E7,2.215909090909091
E8,3.920454545454546
E9,3.75
E10,3.8636363636363646
E11,4.034090909090909
E12,6.477272727272727
E13,4.034090909090909
E14,4.715909090909091
E15,4.375
E16,2.386363636363637
E17,4.9431818181818175
E18,6.3068181818181825
E19,3.75
E20,6.9318181818181825
E21,4.772727272727273
E22,6.25
E23,1.5909090909090906
E24,4.090909090909091
E25,3.0681818181818175
E26,7.215909090909091
E27,4.375
E28,2.443181818181819
E29,3.238636363636364
E30,6.647727272727274
E31,4.715909090909091
E32,3.806818181818181
E33,3.465909090909091
E34,7.670454545454546
E35,4.318181818181818
E36,1.4204545454545456
E37,4.431818181818182
E38,3.465909090909091
E39,4.318181818181818
E40,6.420454545454545
E41,5.340909090909092
E42,2.897727272727273
E43,4.772727272727273
E44,3.9772727272727275
E45,7.613636363636365
E46,4.9431818181818175
E47,2.5000000000000004
E48,4.715909090909091
E49,2.897727272727273
E50,4.545454545454545
F1,5.738636363636365
F2,6.647727272727274
F3,5.909090909090909
F4,1.4772727272727273
F5,5.909090909090909
F6,5.965909090909091
F7,4.375
F8,3.1818181818181825
F9,3.9772727272727275
F10,5.113636363636363
F11,5.170454545454546
F12,5.284090909090908
F13,3.920454545454546
F14,4.034090909090909
F15,2.9545454545454546
F16,5.5681818181818175
F17,6.25
F18,1.875
F19,3.352272727272727
F20,2.2727272727272725
F21,2.6704545454545454
F22,3.238636363636364
F23,5.738636363636365
F24,5.000000000000001
F25,4.204545454545454
F26,4.659090909090909
F27,2.0454545454545463
F28,1.2499999999999996
F29,6.25
F30,4.488636363636363
F31,6.25
F32,2.78409090909091
F33,3.75
F34,5.625
F35,2.386363636363637
F36,5.681818181818182
F37,6.3068181818181825
F38,3.9772727272727275
F39,3.920454545454546
F40,1.0227272727272732
F41,4.431818181818182
F42,7.045454545454546
F43,4.886363636363636
F44,3.920454545454546
F45,6.59090909090909
F46,5.511363636363637
F47,6.193181818181818
F48,4.204545454545454
F49,2.6704545454545454
F50,4.602272727272728
G1,3.0113636363636367
G2,2.329545454545454
G3,5.284090909090908
G4,3.920454545454546
G5,5.965909090909091
G6,4.488636363636363
G7,3.6931818181818183
G8,4.602272727272728
G9,3.9772727272727275
G10,6.363636363636363
G11,5.795454545454546
G12,4.1477272727272725
G13,5.511363636363637
G14,2.159090909090909
G15,3.75
G16,3.9772727272727275
G17,3.295454545454546
G18,3.579545454545455
G19,3.6363636363636367
G20,5.965909090909091
G21,5.965909090909091
G22,5.170454545454546
G23,2.78409090909091
G24,1.8181818181818183
G25,5.000000000000001
G26,3.920454545454546
G27,4.602272727272728
G28,6.079545454545455
G29,3.8636363636363646
G30,8.46590909090909
G31,2.78409090909091
G32,5.227272727272727
G33,3.920454545454546
G34,3.920454545454546
G35,4.204545454545454
G36,5.454545454545455
G37,4.375
G38,4.431818181818182
G39,6.25
G40,3.1818181818181825
G41,3.6931818181818183
G42,2.727272727272727
G43,3.1250000000000004
G44,5.340909090909092
G45,5.340909090909092
G46,5.113636363636363
G47,4.9431818181818175
G48,2.727272727272727
G49,5.681818181818182
G50,3.806818181818181
H1,3.8636363636363646
H2,3.806818181818181
H3,6.022727272727273
H4,5.511363636363637
H5,2.5568181818181817
H6,2.6704545454545454
H7,1.3636363636363642
H8,4.829545454545455
H9,1.8181818181818183
H10,6.704545454545455
H11,5.227272727272727
H12,3.4090909090909087
H13,1.7613636363636367
H14,3.352272727272727
H15,3.5227272727272734
H16,3.0681818181818175
H17,3.6931818181818183
H18,3.8636363636363646
H19,1.2499999999999996
H20,6.079545454545455
H21,7.329545454545453
H22,6.647727272727274
H23,1.6477272727272734
H24,2.2727272727272725
H25,3.579545454545455
H26,4.034090909090909
H27,6.818181818181818
H28,3.1818181818181825
H29,4.204545454545454
H30,4.318181818181818
H31,4.204545454545454
H32,5.5681818181818175
H33,5.625
H34,4.715909090909091
H35,4.261363636363637
H36,5.511363636363637
H37,4.431818181818182
H38,4.204545454545454
H39,8.011363636363635
H40,3.4090909090909087
H41,2.78409090909091
H42,3.0113636363636367
H43,6.3068181818181825
H44,2.727272727272727
H45,6.988636363636363
H46,4.545454545454545
H47,2.159090909090909
H48,3.4090909090909087
H49,4.318181818181818
H50,3.1250000000000004
I1,5.113636363636363
I2,4.204545454545454
I3,3.1818181818181825
I4,3.295454545454546
I5,3.920454545454546
I6,5.738636363636365
I7,4.659090909090909
I8,3.238636363636364
I9,4.1477272727272725
I10,3.5227272727272734
I11,5.681818181818182
I12,6.363636363636363
I13,2.1022727272727275
I14,5.000000000000001
I15,5.5681818181818175
I16,4.545454545454545
I17,1.9886363636363633
I18,1.9318181818181814
I19,3.1250000000000004
I20,3.1818181818181825
I21,4.1477272727272725
I22,3.0113636363636367
I23,4.034090909090909
I24,3.579545454545455
I25,3.8636363636363646
I26,3.8636363636363646
I27,6.25
I28,3.1818181818181825
I29,3.465909090909091
I30,3.9772727272727275
I31,4.9431818181818175
I32,7.102272727272727
I33,6.3068181818181825
I34,5.397727272727273
I35,7.159090909090908
I36,2.329545454545454
I37,2.6136363636363633
I38,5.965909090909091
I39,4.204545454545454
I40,5.681818181818182
I41,6.193181818181818
I42,1.0227272727272732
I43,4.431818181818182
I44,2.8409090909090913
I45,4.602272727272728
I46,5.738636363636365
I47,3.579545454545455
I48,3.9772727272727275
I49,3.352272727272727
I50,2.9545454545454546
J1,2.5568181818181817
J2,6.59090909090909
J3,5.340909090909092
J4,2.8409090909090913
J5,2.6136363636363633
J6,3.6363636363636367
J7,7.727272727272727
J8,3.0681818181818175
J9,3.465909090909091
J10,2.78409090909091
J11,5.397727272727273
J12,2.9545454545454546
J13,5.284090909090908
J14,3.1818181818181825
J15,4.9431818181818175
J16,2.5568181818181817
J17,2.215909090909091
J18,4.715909090909091
J19,3.806818181818181
J20,3.8636363636363646
J21,4.602272727272728
J22,2.8409090909090913
J23,5.227272727272727
J24,6.875000000000001
J25,4.034090909090909
J26,4.318181818181818
J27,7.272727272727272
J28,1.3636363636363642
J29,4.431818181818182
J30,5.625
J31,1.193181818181818
J32,8.352272727272728
J33,1.5340909090909087
J34,3.9772727272727275
J35,0.6818181818181821
J36,6.420454545454545
J37,2.215909090909091
J38,5.227272727272727
J39,3.5227272727272734
J40,6.136363636363637
J41,3.579545454545455
J42,3.806818181818181
J43,1.875
J44,5.000000000000001
J45,5.397727272727273
J46,4.034090909090909
J47,2.443181818181819
J48,4.772727272727273
J49,4.659090909090909
J50,3.579545454545455
K1,4.9431818181818175
K2,4.488636363636363
K3,2.6704545454545454
K4,6.193181818181818
K5,3.5227272727272734
K6,4.659090909090909
K7,2.5000000000000004
K8,2.0454545454545463
K9,4.034090909090909
K10,4.1477272727272725
K11,2.8409090909090913
K12,5.227272727272727
K13,5.625
K14,5.738636363636365
K15,4.431818181818182
K16,3.9772727272727275
K17,3.6363636363636367
K18,5.5681818181818175
K19,5.852272727272727
K20,5.625
K21,5.625
K22,8.579545454545453
K23,1.5909090909090906
K24,5.397727272727273
K25,4.602272727272728
K26,2.5000000000000004
K27,3.1818181818181825
K28,4.034090909090909
K29,1.7613636363636367
K30,5.454545454545455
K31,4.1477272727272725
K32,4.772727272727273
K33,3.920454545454546
K34,2.78409090909091
K35,6.59090909090909
K36,4.715909090909091
K37,3.579545454545455
K38,2.1022727272727275
K39,4.090909090909091
K40,2.9545454545454546
K41,2.78409090909091
K42,3.75
K43,5.227272727272727
K44,2.159090909090909
K45,4.659090909090909
K46,6.59090909090909
K47,2.443181818181819
K48,5.5681818181818175
K49,4.715909090909091
K50,2.6704545454545454
L1,4.772727272727273
L2,5.0568181818181825
L3,5.5681818181818175
L4,4.488636363636363
L5,3.920454545454546
L6,4.318181818181818
L7,2.215909090909091
L8,5.000000000000001
L9,1.5909090909090906
L10,5.5681818181818175
L11,5.113636363636363
L12,1.7613636363636367
L13,3.5227272727272734
L14,4.9431818181818175
L15,4.488636363636363
L16,1.9886363636363633
L17,6.647727272727274
L18,5.0568181818181825
L19,5.852272727272727
L20,3.5227272727272734
L21,4.659090909090909
L22,4.318181818181818
L23,3.6363636363636367
L24,4.318181818181818
L25,5.5681818181818175
L26,4.318181818181818
L27,5.454545454545455
L28,4.9431818181818175
L29,6.875000000000001
L30,2.0454545454545463
L31,7.5568181818181825
L32,4.431818181818182
L33,3.75
L34,5.454545454545455
L35,4.659090909090909
L36,2.159090909090909
L37,3.75
L38,4.431818181818182
L39,2.443181818181819
L40,4.886363636363636
L41,7.272727272727272
L42,5.852272727272727
L43,6.3068181818181825
L44,2.5568181818181817
L45,2.6136363636363633
L46,3.238636363636364
L47,7.045454545454546
L48,5.284090909090908
L49,6.59090909090909
L50,5.227272727272727
M1,2.159090909090909
M2,2.9545454545454546
M3,4.602272727272728
M4,3.806818181818181
M5,2.1022727272727275
M6,4.659090909090909
M7,5.227272727272727
M8,6.079545454545455
M9,5.681818181818182
M10,4.715909090909091
M11,3.9772727272727275
M12,3.4090909090909087
M13,7.784090909090909
M14,7.215909090909091
M15,4.886363636363636
M16,8.40909090909091
M17,4.715909090909091
M18,4.1477272727272725
M19,2.897727272727273
M20,3.6363636363636367
M21,3.75
M22,5.511363636363637
M23,6.534090909090908
M24,3.579545454545455
M25,3.238636363636364
M26,6.9318181818181825
